Force,ANSYS,WORK,ANSYS2,WORK2
2.4,2.21626,2.209805,2.23546,2.22894
2.36,2.213585,2.207125,2.23273,2.22621
2.32,2.210915,2.204445,2.23001,2.22348
2.28,2.208245,2.201765,2.22729,2.22075
2.24,2.20557,2.199085,2.22457,2.21802
2.2,2.202895,2.196405,2.22184,2.21529
2.16,2.200225,2.193725,2.21912,2.21256
2.12,2.19755,2.191045,2.2164,2.20983
2.08,2.19488,2.18836,2.21368,2.20709
2.04,2.192205,2.18568,2.21095,2.20436
2,2.18953,2.182995,2.20823,2.20163
1.96,2.18686,2.180315,2.20551,2.1989
1.92,2.18418,2.177635,2.20278,2.19617
1.88,2.18151,2.17495,2.20006,2.19343
1.84,2.17883,2.172265,2.19733,2.1907
1.8,2.17616,2.169585,2.19461,2.18797
1.76,2.173485,2.166895,2.19189,2.18523
1.72,2.170805,2.164215,2.18916,2.1825
1.68,2.168135,2.161525,2.18644,2.17976
1.64,2.165455,2.15884,2.18371,2.17703
1.6,2.16278,2.15616,2.18099,2.1743
1.56,2.1601,2.15347,2.17826,2.17156
1.52,2.15743,2.15078,2.17554,2.16882
1.48,2.15475,2.1481,2.17281,2.16609
1.44,2.152075,2.14541,2.17009,2.16335
1.4,2.149395,2.142725,2.16736,2.16062
1.36,2.14672,2.140035,2.16464,2.15788
1.32,2.14404,2.137345,2.16191,2.15514
1.28,2.14136,2.13466,2.15918,2.15241
1.24,2.13869,2.13197,2.15646,2.14967
1.2,2.13601,2.12928,2.15373,2.14693
1.16,2.13333,2.12659,2.151,2.14419
1.12,2.13065,2.1239,2.14828,2.14145
1.08,2.12797,2.12121,2.14555,2.13872
1.04,2.12529,2.11852,2.14282,2.13598
1,2.122615,2.11583,2.1401,2.13324
0.960000000000001,2.119935,2.11314,2.13737,2.1305
0.92,2.117255,2.110445,2.13464,2.12776
0.880000000000001,2.11458,2.107755,2.13192,2.12502
0.84,2.111895,2.10506,2.12919,2.12228
0.800000000000001,2.109215,2.10237,2.12646,2.11954
0.76,2.106535,2.099675,2.12373,2.1168
0.720000000000001,2.103855,2.096985,2.121,2.11406
0.68,2.101175,2.09429,2.11828,2.11132
0.640000000000001,2.098495,2.091595,2.11555,2.10857
0.6,2.09581,2.0889,2.11282,2.10583
